name,city,state,original_type,detected_type,estimated_acres,verification_priority,skip_reason,verified_acres,confidence,source,status,notes
Coldstream Christian Camp,Nashville-Davidson--Murfreesboro--Franklin,TN,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
The Camp of Colors,Atlanta-Sandy Springs-Alpharetta,GA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Lake Springfield Baptist Camp,Springfield,IL,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Rock Garden Camp,Pomona,MO,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Ranch Haven at Crawford,Crawford,CO,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Grindstone Lake Bible Camp,Sandstone,MN,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Teaghlach Ranch,San Antonio-New Braunfels,TX,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Christ Central Camp,Beaumont-Port Arthur,TX,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Pleasant Hill Outdoor Camp,Mansfield,OH,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Crossview Christian Camp and Retreat,Dickens,TX,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Covenant Ranch,Buchanan,TN,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Timberline Baptist Camp and Conference Center,Tyler,TX,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Shield,Houston-The Woodlands-Sugar Land,TX,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Promise Ranch Ministries,McAlisterville,PA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Fireside,Boston-Cambridge-Newton,MA-NH,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
CBM OF the Upper Cumberland REGION OF TN INC Camp Ozone,Knoxville,TN,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Destiny Youth Ranch,Alvord,IA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Indian Lake Christian Service Camp,Baltimore-Columbia-Towson,MD,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Family Camp,Cincinnati,OH-KY-IN,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
MT Baker Bibleway Camp,Bellingham,WA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Walnut Ridge Christian Camp,Indianapolis-Carmel-Anderson,IN,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Bethany,Mansfield,OH,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Warrior Ranch Foundation,New York-Newark-Jersey City,NY-NJ-PA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
UBarU Camp and Retreat Center,Dallas-Fort Worth-Arlington,TX,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Maranatha,Athens-Clarke County,GA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Twin Peaks Bible Camp,Grand Junction,CO,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Oak Hill Christian Service Camp,Richmond,VA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Vandemere,New Bern,NC,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Mobley Ranch Christian Camp,College Station-Bryan,TX,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Witness Bible Conference Association,Long Pine,NE,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Valley View Camp,Nashville-Davidson--Murfreesboro--Franklin,TN,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Living Waters,Loranger,LA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
United Methodist Camp and Retreat Ministries Association,Atlanta-Sandy Springs-Alpharetta,GA,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Lost Boys,Los Angeles-Long Beach-Anaheim,CA,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Smoky Mountain Christian Camp,Tellico Plains,TN,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Ambassador Camp,Lake Waccamaw,NC,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Pleasant Valley Bible Camp,East Jordan,MI,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Silver Heights Camp and Retreat Center,Louisville/Jefferson County,KY-IN,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
LifeChange Camp,Clinton,MO,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Old Faithful Christian Ranch,Idaho Falls,ID,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Southern Bible Testimony Inc Camp Living Water,#VALUE!,,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
