row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
12367,Wilderness Fellowship Ministries,wildernessfellowshipministries,wildernessfellowshipministriesinc,95.23809523809523,510175560
12370,The Watershed Center,thewatershedcenter,thewatershedcenterinc,92.3076923076923,364624060
12371,Marys Ministries,marysministries,marysministriesinc,90.9090909090909,860721211
12372,Lincoln Lake Baptist Youth Camp,lincolnlakebaptistyouthcamp,lincolnlakebaptistyouthcampinc,94.73684210526316,382011089
12379,Camp Luther of Nebraska,camplutherofnebraska,camplutherofnebraskainc,93.02325581395348,470613021
12383,Heart of the Matter Transformation Retreat,heartofthemattertransformationretreat,heartofthemattertransformationretreatinc,96.1038961038961,820846944
12384,Twelve Stones Ministries,twelvestonesministries,twelvestonesministriesinc,93.61702127659575,260076451
12394,Refuge Recovery World Services,refugerecoveryworldservices,refugerecoveryworldservicesinc,94.73684210526316,843015516
12395,Pinecrest Camp and Retreat Center,pinecrestcampandretreatcenter,pinecrestcampandretreatcenterinc,95.08196721311475,851136010
12397,Sacred Art of Living Education and Retreat Center,sacredartoflivingeducationandretreatcenter,sacredartoflivingeducationandretreatcenterinc,96.55172413793103,931258906
12400,Family Farm Wellspring,familyfarmwellspring,familyfarmwellspringinc,93.02325581395348,823011599
12403,Compete4him Ministries,compete4himministries,compete4himministriesinc,93.33333333333333,832408105
12405,Windmoor Foundation,windmoorfoundation,windmoorfoundationinc,92.3076923076923,010788484
12406,Kirpal Light Satsang,kirpallightsatsang,kirpallightsatsanginc,92.3076923076923,742462249
12411,Brenden Mann Foundation Dorsey and Whitney,brendenmannfoundationdorseyandwhitney,brendenmannfoundationcodorseywhitney,93.15068493150685,113789260
12417,Camp Blue Diamond,campbluediamond,campbluediamondinc,90.9090909090909,251562015
12418,Centering Space,centeringspace,centeringspaceinc,90.32258064516128,920776625
12421,Missionaries of the Word,missionariesoftheword,missionariesofthewordinc,93.33333333333333,463770958
12428,Timberlake Ministries,timberlakeministries,timberlakeministriesinc,93.02325581395348,753071997
12429,Bais Chana Women International,baischanawomeninternational,baischanawomeninternationalinc,94.73684210526316,113310069
