row_index,institution,master_city,master_state,query_norm,matched_irs_name,irs_city,irs_state,score,city_ok,state_ok,ein_filled
11729,MG Retreat Centers,Colorado Springs,CO,mg retreat centers,Mg Retreat Centers Inc.,Monument,CO,90.0,False,True,921694627
11740,Barnabas,Los Angeles-Long Beach-Anaheim,CA,barnabas,Barnabas,Rocklin,CA,100.0,False,True,911259946
11745,Full Sail Ministries,Visalia,CA,full sail ministries,Full Sail Ministries Inc.,Bakersfield,CA,90.9090909090909,False,True,810735730
11753,Appamada,Austin-Round Rock-Georgetown,TX,appamada,Appamada,Austin,TX,100.0,False,True,203671874
11799,Dhamma Yawei Tawya Meditation Center,Riverside-San Bernardino-Ontario,CA,dhamma yawei tawya meditation center,Dhamma Yawei Tawya Meditation Center,Riverside,CA,100.0,False,True,814934725
11825,Association of Nysccboa,Syracuse,NY,association of nysccboa,Association of Nysccboa Ltd.,Auburn,NY,92.0,False,True,461240530
11829,The Sabbath Life Corp,Tulsa,OK,sabbath life corp,The Sabbath Life Corp,Tulsa,OK,100.0,True,True,882317256
11840,Reserve at Tri-Mountain,Atlanta-Sandy Springs-Alpharetta,GA,reserve at tri mountain,Reserve at Tri-Mountain Inc.,Atlanta,GA,92.0,False,True,272148211
11856,Hemophilia of Iowa,Des Moines-West Des Moines,IA,hemophilia of iowa,Hemophilia of Iowa Inc.,Durant,IA,90.0,False,True,421334948
11875,Theology of the Body Cleveland,Cleveland-Elyria,OH,theology of body cleveland,Theology of the Body Cleveland,Brecksville,OH,100.0,False,True,843099051
11912,Feliciana Retreat and Conference Center,Baton Rouge,LA,feliciana retreat and conference center,Feliciana Retreat and Conference Center Inc.,Norwood,LA,95.1219512195122,False,True,824893903
11946,Shree Maharishi Bhrigu Ashram,Los Angeles-Long Beach-Anaheim,CA,shree maharishi bhrigu ashram,Shree Maharishi Bhrigu Ashram,Trabuco Cyn,CA,100.0,False,True,260402876
11948,Temple of Light,Phoenix-Mesa-Chandler,AZ,temple of light,Temple of Light,Tempe,AZ,100.0,False,True,880876358
11982,Pacific Southwest Mennonite Retreat Ministries,Fresno,CA,pacific southwest mennonite retreat ministries,Pacific Southwest Mennonite Retreat Ministries Inc.,Fresno,CA,95.83333333333334,True,True,946127191
11992,Marriage Encounter,Houston-The Woodlands-Sugar Land,TX,marriage encounter,Marriage Encounter Inc.,Fulshear,TX,90.0,False,True,237310651
11998,In Ipso,Denver-Aurora-Lakewood,CO,in ipso,In Ipso,Littleton,CO,100.0,False,True,275196942
12016,Crossroads 4 Christ,Hartford-East Hartford-Middletown,CT,crossroads 4 christ,Crossroads 4 Christ Inc.,Manchester,CT,90.47619047619048,False,True,823889116
12026,Margo Fieseler Ministries,Milwaukee-Waukesha,WI,margo fieseler ministries,Margo Fieseler Ministries,Oconomowoc,WI,100.0,False,True,464976976
12032,Thriving Pink,Sacramento-Roseville-Folsom,CA,thriving pink,Thriving Pink,Davis,CA,100.0,False,True,812972130
12056,United Methodist Camp and Retreat Ministries Association,Atlanta-Sandy Springs-Alpharetta,GA,united methodist camp and retreat ministries association,United Methodist Camp and Retreat Ministries Association Inc.,Dahlonega,GA,96.55172413793103,False,True,845035733
12068,Woods and Water Christian Retreat,Mansfield,OH,woods and water christian retreat,Woods & Water Christian Retreat Inc.,Perrysville,OH,94.28571428571428,False,True,341009148
