ein,tax_period,form_type,total_revenue,total_expenses,total_assets_end,total_liabilities_end,net_assets_end,avg_revenue_3yr,avg_expenses_3yr,num_filings_in_3yr
200628342,202312,990,901606,1032999,672407,219800,452607,N/A,N/A,1
200647744,202312,990,1444182,1158288,3337343,162501,3174842,N/A,N/A,1
200649212,202312,990,2063833,1937634,113704,103150,10554,N/A,N/A,1
200670007,202312,990,2657542,2298977,2463955,8135,2455820,N/A,N/A,1
200683000,202312,990,800058,756155,1713755,16490,1697265,N/A,N/A,1
200694400,202312,990,448303,393771,550965,3146,547819,N/A,N/A,1
200703181,202401,990,34440808,35874621,3556798,154489,3402309,N/A,N/A,1
200709465,202312,990,947669,925019,374157,10357,363800,N/A,N/A,1
200721493,202312,990,1524571,1583441,215814,1832,213982,N/A,N/A,1
200722290,202312,990,534829,341110,595712,173401,422311,N/A,N/A,1
200722988,202306,990,344630,349091,17894,1901,15993,N/A,N/A,1
200725599,202312,990,449940,38036,1549255,492392,1056863,586228.5,473046.5,2
200727122,202312,990,1603801,1216085,1719440,10870,1708570,N/A,N/A,1
200738752,202312,990,371968,353294,225971,0,225971,371639.0,349958.0,2
200739727,202312,990,1424095,1436273,1589212,195596,1393616,N/A,N/A,1
200742507,202312,990,727308,782060,643210,0,643210,N/A,N/A,1
200743054,202309,990,19064286,19699563,17306329,10663771,6642558,N/A,N/A,1
200743864,202312,990,6960107,6590073,4517297,60421,4456876,N/A,N/A,1
200746192,202312,990,722664,698762,202609,0,202609,N/A,N/A,1
200751190,202312,990,678660,40170,0,0,0,N/A,N/A,1
200754384,202312,990,305658,305989,606603,3816,602787,N/A,N/A,1
200759800,202312,990,513751,456996,265699,0,265699,N/A,N/A,1
200764068,202312,990,2058409,2214005,1282222,21168,1261054,N/A,N/A,1
200779592,202312,990,1728672,842690,26454,0,26454,N/A,N/A,1
200781752,202312,990,324019,295858,819750,8948,810802,N/A,N/A,1
200784710,202312,990,733456,369453,7417754,2397411,5020343,N/A,N/A,1
200806767,202312,990,264975,242071,303642,71328,232314,N/A,N/A,1
200806957,202312,990,985387,1008313,388798,159749,229049,N/A,N/A,1
200813055,202312,990,2187291,3690477,1355687,12384,1343303,N/A,N/A,1
200838529,202312,990,501275,618785,354792,159696,195096,N/A,N/A,1
200870007,202312,990,1131971,1150855,387423,5504,381919,N/A,N/A,1
200937434,202312,990,580140,538654,2366694,182891,2183803,N/A,N/A,1
200967055,202312,990,2288357,2170549,1103227,0,1103227,N/A,N/A,1
201013926,202312,990,269562,140577,194684,0,194684,N/A,N/A,1
201029234,202312,990,994917,812137,210986,0,210986,N/A,N/A,1
201030740,202312,990,430312,325501,1466306,134,1466172,N/A,N/A,1
201033832,202312,990,467386,475566,157752,153798,3954,N/A,N/A,1
201072627,202312,990,3155768,10561697,1834423,2369609,-535186,N/A,N/A,1
201072726,202312,990,49912263,54079999,374534060,20295100,354238960,N/A,N/A,1
201076540,202312,990,466042,494825,361775,668,361107,N/A,N/A,1
201097539,202308,990,568473,603658,579040,26803,552237,N/A,N/A,1
201111056,202312,990,147483,152219,1495939,1922,1494017,N/A,N/A,1
201116438,202312,990,469906,470777,113542,25390,88152,N/A,N/A,1
201134990,202312,990,620419,652099,8188,0,8188,N/A,N/A,1
201145874,202312,990,315246,323976,101685,0,101685,N/A,N/A,1
201147040,202308,990,2479713,2212580,2832532,279742,2552790,N/A,N/A,1
201174631,202312,990,3314912,2565577,3406308,404938,3001370,N/A,N/A,1
201198064,202312,990,1704750,2268297,3064069,244435,2819634,N/A,N/A,1
201221107,202312,990,1320960,1050221,1438124,460388,977736,N/A,N/A,1
201234712,202312,990,586283,646311,420964,0,420964,N/A,N/A,1
201239648,202212,990,848631,1038116,44517,0,44517,667735.5,849774.0,2
201260545,202309,990,5654036,3862365,39626852,2100123,37526729,N/A,N/A,1
201266441,202312,990,438407,273836,5142937,0,5142937,N/A,N/A,1
201281655,202312,990,994536,1013403,578556,112298,466258,N/A,N/A,1
201305893,202212,990,232221,34691,666039,5000,661039,N/A,N/A,1
201320557,202312,990,467160,508302,1390832,0,1390832,N/A,N/A,1
201336099,202312,990,1054970,1362646,4647562,2255453,2392109,N/A,N/A,1
201359156,202212,990,770953,466448,1219744,0,1219744,N/A,N/A,1
201371968,202312,990,1279836,1334231,95825,23467,72358,N/A,N/A,1
201374639,202312,990,273120,272025,192287,0,192287,N/A,N/A,1
201374884,202307,990,1369484,1280258,1378839,224767,1154072,N/A,N/A,1
201377228,202312,990,632887,922014,522328,130086,392242,N/A,N/A,1
201394387,202312,990,1082350,724204,12658449,0,12658449,N/A,N/A,1
201436033,202312,990,549280,233542,2149073,954,2148119,N/A,N/A,1
201438541,202312,990,239107,216749,181949,0,181949,N/A,N/A,1
201446242,202312,990,354270,494702,6465,27456,-20991,N/A,N/A,1
201461176,202405,990,275678,142813,1335073,0,1335073,N/A,N/A,1
201466483,202308,990,5051385,2366300,25803158,18178351,7624807,N/A,N/A,1
201470096,202308,990,2147113,1220630,24457186,10626431,13830755,N/A,N/A,1
201478914,202312,990,824960,625680,1447232,372364,1074868,N/A,N/A,1
201479517,202312,990,292975,288582,26212,91,26121,N/A,N/A,1
201482256,202312,990,426359,341467,84892,0,84892,N/A,N/A,1
201494208,202307,990,2935504,3157175,104672,0,104672,N/A,N/A,1
201494454,202312,990,889906,924427,50041,119403,-69362,N/A,N/A,1
201495764,202312,990,957698,952131,259232,92556,166676,N/A,N/A,1
201498565,202312,990,766888,441173,1949633,4692,1944941,N/A,N/A,1
201507913,202312,990,260306,165643,370936,1577,369359,N/A,N/A,1
201523797,202312,990,7920071,7718634,1381921,12208,1369713,N/A,N/A,1
201550347,202312,990,323060,289079,1560579,608422,952157,N/A,N/A,1
201560694,202312,990,569125,365422,263386,0,263386,382215.5,336810.5,2
201560947,202312,990,1739871,2878173,2341066,259389,2081677,N/A,N/A,1
201572940,202312,990,859675,967126,107760,3566,104194,N/A,N/A,1
201581781,202312,990,1187346,1603038,527383,1092,526291,N/A,N/A,1
201585986,202312,990,4570456,5134426,8907485,348551,8558934,N/A,N/A,1
201611858,202304,990,665898,363020,29079547,9930811,19148736,N/A,N/A,1
201622758,202312,990,432530,389094,68233,0,68233,384281.5,360655.0,2
201624084,202312,990,654631,622530,272524,0,272524,N/A,N/A,1
201632633,202312,990,890846,49812,4041485,299597,3741888,880303.0,54492.5,2
201640867,202212,990,1634591,1116866,3351226,942295,2408931,N/A,N/A,1
201667945,202312,990,616899,948803,875619,6182,869437,N/A,N/A,1
201671132,202312,990,1479423,1076622,8145532,4780600,3364932,1618489.0,990505.5,2
201674258,202312,990,495177,478000,1145134,0,1145134,N/A,N/A,1
201696247,202312,990,640710,578732,879122,150,878972,N/A,N/A,1
201708166,202312,990,325583,322574,182486,0,182486,N/A,N/A,1
201722833,202312,990,1742098,1057396,5276190,485574,4790616,N/A,N/A,1
201740782,202306,990,519171,680113,0,0,0,N/A,N/A,1
201776620,202312,990,252516,148788,1558307,4305,1554002,N/A,N/A,1
201777710,202312,990-EZ,188465,191974,198997,0,198997,N/A,N/A,1
201800387,202312,990,581860,643672,1327150,0,1327150,N/A,N/A,1
201802562,202312,990,381589,291094,728749,131,728618,N/A,N/A,1
201823881,202312,990,509915,528320,453832,312,453520,N/A,N/A,1
201824854,202312,990,331763,365819,247369,15477,231892,N/A,N/A,1
201826839,202312,990,352287,473610,37950,649995,-612045,N/A,N/A,1
201829608,202403,990,724061,860243,357958,30255,327703,N/A,N/A,1
201830307,202312,990,283867,194452,2219376,0,2219376,N/A,N/A,1
201833020,202312,990,2863087,1490732,3813299,11838,3801461,N/A,N/A,1
201849707,202312,990,713979,658948,3781046,12285,3768761,N/A,N/A,1
201854310,202312,990,772207,888018,23100,13405,9695,N/A,N/A,1
201869361,202308,990,1158328,1172670,101138,15468,85670,N/A,N/A,1
201869878,202312,990,642887,551591,3003306,42160,2961146,N/A,N/A,1
201881480,202310,990,1204766,797774,8541793,885449,7656344,N/A,N/A,1
201891947,202312,990,323971,347331,459551,3360,456191,N/A,N/A,1
201893670,202312,990,973274,921968,603998,13457,590541,N/A,N/A,1
201901828,202312,990,402777,441195,182321,0,182321,N/A,N/A,1
201911331,202312,990,489302,502845,150943,0,150943,N/A,N/A,1
201913508,202309,990,319452,234743,4166708,0,4166708,N/A,N/A,1
201933798,202312,990,742243,744949,14279,11974,2305,N/A,N/A,1
201935653,202312,990,1443670,1839041,5020974,3120669,1900305,N/A,N/A,1
201943791,202312,990,181926,194046,0,0,0,N/A,N/A,1
201947802,202312,990,238119,208532,411308,35,411273,N/A,N/A,1
201966843,202312,990,359914,322782,139930,0,139930,N/A,N/A,1
202000965,202307,990,104165,151107,89590,8919,80671,N/A,N/A,1
202001850,202312,990,463796,579928,456678,0,456678,N/A,N/A,1
202003198,202312,990,376734,358089,137945,0,137945,N/A,N/A,1
202008661,202312,990,872421,733145,1179144,508472,670672,N/A,N/A,1
202025850,202312,990,408757,433148,41086,0,41086,N/A,N/A,1
202027747,202312,990,1181974,933988,873096,65783,807313,N/A,N/A,1
202035406,202302,990,215847,411460,927279,157030,770249,N/A,N/A,1
202073025,202312,990,250703,115574,1138696,363,1138333,N/A,N/A,1
202076659,202312,990,1178264,1100386,2128387,66747,2061640,N/A,N/A,1
202083113,202312,990,949046,1029873,2056540,76080,1980460,N/A,N/A,1
202095736,202406,990,651443,707878,252146,5096,247050,N/A,N/A,1
202117290,202406,990,259883,174439,1293948,269892,1024056,N/A,N/A,1
202136431,202312,990,735059,594059,799032,10238,788794,N/A,N/A,1
202149191,202312,990,2870548,2700047,7032063,206898,6825165,N/A,N/A,1
202156464,202312,990,315284,219639,384265,0,384265,N/A,N/A,1
202175242,202312,990,748869,529440,2131211,479970,1651241,N/A,N/A,1
202177883,202312,990,1549393,1552989,489877,6340,483537,N/A,N/A,1
202178658,202312,990,2150964,1495725,2071756,6775,2064981,N/A,N/A,1
202215370,202312,990,625122,598695,33204,0,33204,N/A,N/A,1
202263326,202306,990,2273833,1520388,4770234,244673,4525561,N/A,N/A,1
202268446,202303,990,647755,449695,5441600,-813,5442413,N/A,N/A,1
202270171,202312,990,313887,217398,1105645,398555,707090,N/A,N/A,1
202281760,202403,990,942588,990263,6748,30474,-23726,N/A,N/A,1
202283864,202212,990,380035,553802,7020,278953,-271933,N/A,N/A,1
202299045,202312,990,2080905,2108600,1029952,90484,939468,N/A,N/A,1
202307367,202312,990,1391974,1429005,1990879,598923,1391956,N/A,N/A,1
202308649,202306,990,202492,202092,153239,25392,127847,N/A,N/A,1
202318515,202312,990,385037,375097,94393,0,94393,N/A,N/A,1
202355718,202312,990,255383,211322,284968,481311,-196343,N/A,N/A,1
202387967,202312,990,7530000,8224069,505174,0,505174,N/A,N/A,1
202388617,202312,990,300661,369649,931119,7390,923729,N/A,N/A,1
202388778,202312,990,585923,424519,347675,12230,335445,N/A,N/A,1
202433799,202312,990,268301,291896,132552,0,132552,N/A,N/A,1
202436769,202312,990,4785516,4931874,10954890,4028662,6926228,N/A,N/A,1
202446420,202312,990,305261,304262,509647,0,509647,N/A,N/A,1
202447839,202312,990,285346,282305,269690,0,269690,N/A,N/A,1
202503615,202312,990,902795,788453,111326,270794,-159468,N/A,N/A,1
202515286,202312,990,392476,392476,0,0,0,N/A,N/A,1
202556006,202312,990,300026,355675,561704,7462,554242,N/A,N/A,1
202570942,202306,990,7968619,5468188,11924389,1829886,10094503,N/A,N/A,1
202572684,202312,990,2379747,3450198,1728602,510083,1218519,3767019.5,3917552.5,2
202575264,202312,990,512189,64774,4436291,0,4436291,N/A,N/A,1
202579869,202405,990,685562,1139594,-864431,0,-864431,663129.0,1048096.5,2
202579906,202308,990,1744384,1801592,566528,306717,259811,N/A,N/A,1
202602244,202312,990,295395,345191,128159,8727,119432,N/A,N/A,1
202624345,202312,990,2230698,1537151,7784744,360212,7424532,N/A,N/A,1
202634313,202312,990,270050,232391,231406,18420,212986,N/A,N/A,1
